nm,HL,LL,HL_UB,HL_LB,LL_UB,LL_LB
400,4.12E-09,7.30E-09,4.19751E-09,4.03414E-09,7.68031E-09,6.91099E-09
401,4.11E-09,7.35E-09,4.19482E-09,4.03442E-09,7.73908E-09,6.9585E-09
402,4.11E-09,7.40E-09,4.19415E-09,4.03269E-09,7.79791E-09,7.00605E-09
403,4.13E-09,7.40E-09,4.21031E-09,4.0532E-09,7.77979E-09,7.01738E-09
404,4.15E-09,7.40E-09,4.2319E-09,4.06835E-09,7.76191E-09,7.02848E-09
405,4.15E-09,7.47E-09,4.22568E-09,4.06989E-09,7.85507E-09,7.08795E-09
406,4.15E-09,7.55E-09,4.22078E-09,4.07013E-09,7.94858E-09,7.14729E-09
407,4.16E-09,7.67E-09,4.22504E-09,4.09425E-09,8.05645E-09,7.28442E-09
408,4.17E-09,7.79E-09,4.2313E-09,4.1164E-09,8.16504E-09,7.42136E-09
409,4.20E-09,7.91E-09,4.26508E-09,4.14451E-09,8.3071E-09,7.50635E-09
410,4.24E-09,8.02E-09,4.30083E-09,4.17075E-09,8.45014E-09,7.59085E-09
411,4.27E-09,8.17E-09,4.33234E-09,4.20814E-09,8.60134E-09,7.73989E-09
412,4.30E-09,8.32E-09,4.36423E-09,4.24527E-09,8.75296E-09,7.88926E-09
413,4.35E-09,8.31E-09,4.41561E-09,4.2898E-09,8.73671E-09,7.88896E-09
414,4.40E-09,8.30E-09,4.47228E-09,4.32931E-09,8.72052E-09,7.8886E-09
415,4.41E-09,8.43E-09,4.4754E-09,4.33528E-09,8.86807E-09,7.99513E-09
416,4.41E-09,8.56E-09,4.48128E-09,4.33852E-09,9.01618E-09,8.10165E-09
417,4.46E-09,8.64E-09,4.52106E-09,4.39136E-09,9.0419E-09,8.24118E-09
418,4.50E-09,8.72E-09,4.56094E-09,4.44432E-09,9.073E-09,8.37565E-09
419,4.49E-09,8.81E-09,4.54816E-09,4.42422E-09,9.21263E-09,8.40091E-09
420,4.47E-09,8.89E-09,4.53617E-09,4.40336E-09,9.3576E-09,8.42118E-09
421,4.49E-09,8.90E-09,4.54855E-09,4.43312E-09,9.32751E-09,8.46675E-09
422,4.51E-09,8.90E-09,4.56163E-09,4.46225E-09,9.2992E-09,8.51059E-09
423,4.51E-09,8.90E-09,4.56083E-09,4.45234E-09,9.30098E-09,8.4973E-09
424,4.50E-09,8.89E-09,4.56085E-09,4.44163E-09,9.30287E-09,8.4839E-09
425,4.49E-09,8.91E-09,4.55024E-09,4.43183E-09,9.33606E-09,8.48757E-09
426,4.48E-09,8.93E-09,4.54132E-09,4.42037E-09,9.36954E-09,8.49098E-09
427,4.50E-09,8.96E-09,4.56467E-09,4.42818E-09,9.42356E-09,8.48955E-09
428,4.51E-09,8.98E-09,4.59071E-09,4.43335E-09,9.47828E-09,8.48746E-09
429,4.54E-09,9.04E-09,4.60349E-09,4.47173E-09,9.49814E-09,8.58675E-09
430,4.56E-09,9.10E-09,4.61656E-09,4.50989E-09,9.51985E-09,8.68436E-09
431,4.59E-09,9.17E-09,4.65137E-09,4.51892E-09,9.59936E-09,8.73366E-09
432,4.61E-09,9.23E-09,4.68746E-09,4.52674E-09,9.67917E-09,8.78281E-09
433,4.61E-09,9.22E-09,4.69329E-09,4.53382E-09,9.67193E-09,8.76312E-09
434,4.62E-09,9.20E-09,4.70091E-09,4.53913E-09,9.66473E-09,8.74338E-09
435,4.67E-09,9.36E-09,4.76115E-09,4.58499E-09,9.84017E-09,8.88632E-09
436,4.73E-09,9.52E-09,4.82217E-09,4.63036E-09,1.00162E-08,9.02952E-09
437,4.72E-09,9.54E-09,4.81811E-09,4.62388E-09,1.00061E-08,9.0808E-09
438,4.72E-09,9.56E-09,4.81519E-09,4.61627E-09,9.9971E-09,9.13099E-09
439,4.73E-09,9.59E-09,4.83071E-09,4.62971E-09,1.00531E-08,9.12352E-09
440,4.74E-09,9.61E-09,4.84766E-09,4.64175E-09,1.01103E-08,9.11494E-09
441,4.71E-09,9.58E-09,4.81204E-09,4.61638E-09,1.00528E-08,9.10705E-09
442,4.68E-09,9.55E-09,4.77717E-09,4.59036E-09,9.99587E-09,9.09861E-09
443,4.62E-09,9.36E-09,4.70985E-09,4.5254E-09,9.80693E-09,8.9159E-09
444,4.55E-09,9.18E-09,4.6443E-09,4.45909E-09,9.6186E-09,8.7337E-09
445,4.40E-09,8.91E-09,4.49177E-09,4.31327E-09,9.364E-09,8.45299E-09
446,4.25E-09,8.64E-09,4.34081E-09,4.16812E-09,9.11119E-09,8.17284E-09
447,4.12E-09,8.31E-09,4.19969E-09,4.04174E-09,8.74849E-09,7.88095E-09
448,3.99E-09,7.99E-09,4.06017E-09,3.91561E-09,8.38829E-09,7.59016E-09
449,3.88E-09,7.76E-09,3.95233E-09,3.80638E-09,8.15566E-09,7.35464E-09
450,3.77E-09,7.52E-09,3.84793E-09,3.695E-09,7.92415E-09,7.11985E-09
451,3.62E-09,7.22E-09,3.69014E-09,3.55035E-09,7.656E-09,6.78406E-09
452,3.47E-09,6.92E-09,3.53375E-09,3.4068E-09,7.39094E-09,6.44836E-09
453,3.35E-09,6.58E-09,3.41757E-09,3.27691E-09,7.01501E-09,6.14678E-09
454,3.23E-09,6.24E-09,3.30215E-09,3.14796E-09,6.64166E-09,5.8467E-09
455,3.11E-09,5.96E-09,3.17562E-09,3.04387E-09,6.33312E-09,5.57856E-09
456,3.00E-09,5.67E-09,3.05007E-09,2.94037E-09,6.0263E-09,5.31171E-09
457,2.87E-09,5.43E-09,2.93316E-09,2.8042E-09,5.77594E-09,5.08846E-09
458,2.74E-09,5.20E-09,2.81708E-09,2.66911E-09,5.52673E-09,4.86611E-09
459,2.66E-09,4.99E-09,2.7247E-09,2.60054E-09,5.3171E-09,4.65997E-09
460,2.58E-09,4.78E-09,2.63392E-09,2.53119E-09,5.10839E-09,4.45452E-09
461,2.55E-09,4.69E-09,2.61263E-09,2.49187E-09,5.01937E-09,4.36886E-09
462,2.52E-09,4.61E-09,2.59288E-09,2.45115E-09,4.93051E-09,4.28332E-09
463,2.48E-09,4.46E-09,2.54467E-09,2.41504E-09,4.77561E-09,4.15395E-09
464,2.44E-09,4.32E-09,2.49728E-09,2.37834E-09,4.62116E-09,4.02488E-09
465,2.40E-09,4.26E-09,2.46108E-09,2.33007E-09,4.55479E-09,3.97024E-09
466,2.35E-09,4.20E-09,2.42561E-09,2.28132E-09,4.4885E-09,3.91566E-09
467,2.32E-09,4.14E-09,2.38383E-09,2.25202E-09,4.44316E-09,3.83763E-09
468,2.28E-09,4.08E-09,2.34237E-09,2.22256E-09,4.39811E-09,3.75946E-09
469,2.24E-09,4.00E-09,2.29812E-09,2.17399E-09,4.29882E-09,3.69418E-09
470,2.19E-09,3.91E-09,2.25464E-09,2.12492E-09,4.19979E-09,3.62892E-09
471,2.18E-09,3.85E-09,2.24853E-09,2.1046E-09,4.14769E-09,3.55787E-09
472,2.16E-09,3.79E-09,2.24249E-09,2.08422E-09,4.09577E-09,3.48681E-09
